recall,precision,threshold
1.0,0.03443533747730898,2.8389277933306797e-05
1.0,0.03458945739860758,2.875787748151516e-05
1.0,0.034749784895500846,2.9142415089927355e-05
1.0,0.03491160559924154,2.957027039133074e-05
1.0,0.03507592312433462,2.999378349690974e-05
1.0,0.03522692102079289,3.0445059423148735e-05
1.0,0.03539022528761625,3.085862099202458e-05
1.0,0.03555303137867386,3.1304205905564406e-05
1.0,0.03574691640018273,3.1869470029364384e-05
1.0,0.035911998393712535,3.241594646443076e-05
1.0,0.03607237524490031,3.288287492074144e-05
1.0,0.03624887807985176,3.340324425933218e-05
1.0,0.03641758049972367,3.393609304265615e-05
1.0,0.036592137951191,3.4540455838522735e-05
1.0,0.03676405814124211,3.515464343868312e-05
1.0,0.036937601416138076,3.575736976907125e-05
1.0,0.03712049335863377,3.637747567063813e-05
1.0,0.03729964845379253,3.698559081536846e-05
1.0,0.03749288773096158,3.7489753741790153e-05
1.0,0.03767906584807993,3.816514734033829e-05
1.0,0.037887728854592226,3.884885730213632e-05
1.0,0.038075542850191595,3.949069945520544e-05
1.0,0.0382640586797066,4.0095730204698006e-05
1.0,0.038467447076535474,4.074921873698632e-05
1.0,0.03866226106290337,4.148499012798862e-05
1.0,0.03885423455295907,4.214480022829782e-05
1.0,0.03907005773131534,4.283269170158549e-05
1.0,0.03928089605622313,4.347338639023368e-05
1.0,0.03951271855077952,4.412829724126251e-05
1.0,0.039719552044668635,4.477315653600328e-05
1.0,0.039932382866073424,4.5421368892288384e-05
1.0,0.04013463696105145,4.603592173104031e-05
1.0,0.04034935060749621,4.676015139225293e-05
1.0,0.040554547810313556,4.754746894093427e-05
1.0,0.04075388170957977,4.819656138942286e-05
1.0,0.04096724583619646,4.891892892873543e-05
1.0,0.04118014669604973,4.963771802218017e-05
1.0,0.041396640655997886,5.0398132388859926e-05
1.0,0.04159883044821743,5.109407905347122e-05
1.0,0.041823951895774175,5.187501675694502e-05
1.0,0.0420642386775971,5.2612647534673055e-05
1.0,0.042301584620062845,5.341432862499947e-05
1.0,0.04252861849926968,5.416663949001788e-05
1.0,0.04277563292220438,5.5004342669221575e-05
1.0,0.04300779773968603,5.578661281576776e-05
1.0,0.04323950958383699,5.682990987866567e-05
1.0,0.04347071282247144,5.775866934277901e-05
1.0,0.043718136741392556,5.8824575231618826e-05
1.0,0.043976115208991924,5.975037374471971e-05
